observed_on,time_observed_at,coordinates_obscured,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
8/13/2017,2017-08-13 23:12:09 UTC,FALSE,Monroe,Monarch,Danaus plexippus,Monarch,Insecta,48662
6/11/2020,2020-06-11 12:52:26 UTC,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
6/17/2020,2020-06-17 14:56:35 UTC,FALSE,Braxton,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/22/2007,2007-09-22 08:33:00 UTC,FALSE,Mercer,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/25/2019,,FALSE,Kanawha,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/26/2019,,FALSE,Kanawha,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/6/2020,2020-07-06 19:43:44 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/16/2020,2020-07-16 16:19:51 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/18/2020,2020-07-18 22:36:16 UTC,FALSE,Webster,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/18/2020,2020-07-18 22:36:55 UTC,FALSE,Webster,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/21/2020,2020-07-21 20:59:17 UTC,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/24/2020,2020-07-25 01:13:52 UTC,FALSE,Nicholas,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/24/2020,2020-07-25 02:07:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/24/2020,2020-07-25 02:10:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/26/2020,2020-07-26 20:22:15 UTC,FALSE,Kanawha,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/28/2020,2020-07-28 13:39:00 UTC,FALSE,Randolph,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/28/2020,2020-07-28 20:22:31 UTC,FALSE,Berkeley,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/29/2020,2020-07-29 13:58:04 UTC,FALSE,Pendleton,Monarch,Danaus plexippus,Monarch,Insecta,48662
